,cluster,names,president,x_vals,y_vales
172,9,Speech_172,Benjamin Harrison,0.23907142000224016,-0.37457453771392335
173,9,Speech_173,Benjamin Harrison,0.23907142000223958,-0.37457453771392457
174,9,Speech_174,Benjamin Harrison,0.03756022727199524,-0.5280228727528483
175,9,Speech_175,Benjamin Harrison,0.20667663344337436,-0.527840879221305
176,4,Speech_176,Grover Cleveland,0.3229691353796916,-0.27411189116735923
177,8,Speech_177,Grover Cleveland,0.014465894279050562,-0.39293405520335034
178,9,Speech_178,Grover Cleveland,0.12170755905498615,-0.3418832639882463
179,9,Speech_179,Grover Cleveland,0.21183208894716235,-0.2864860702459684
180,9,Speech_180,Grover Cleveland,-0.14512699445795882,-0.20925073594267007
181,9,Speech_181,Grover Cleveland,-0.19339092213625478,-0.11027732440084671
182,8,Speech_182,William McKinley,0.014465894279051377,-0.39293405520336844
183,9,Speech_183,William McKinley,0.055457300308529175,-0.27541716482096557
184,9,Speech_184,William McKinley,-0.4444172296203673,-0.013687621183147841
185,9,Speech_185,William McKinley,0.23907142000224352,-0.37457453771392774
186,9,Speech_186,William McKinley,-0.1451269944579526,-0.20925073594266128
187,4,Speech_187,William McKinley,0.02448363769252291,-0.10705690653805973
188,8,Speech_188,Theodore Roosevelt,-0.2864673745973621,0.08777285283326211
189,8,Speech_189,Theodore Roosevelt,-0.13195369843962773,-0.03404535978722182
190,8,Speech_190,Theodore Roosevelt,-0.005379783943093781,-0.6254672766906697
191,8,Speech_191,Theodore Roosevelt,-0.00898958510203853,-0.11429409614392691
192,3,Speech_192,Theodore Roosevelt,-0.28646737459564786,0.08777285283229543
193,8,Speech_193,Theodore Roosevelt,0.4855211858811192,-0.4999116416573029
194,8,Speech_194,Theodore Roosevelt,-0.33952322836646376,0.08633843766470506
195,8,Speech_195,Theodore Roosevelt,0.5272899948836399,-0.4130185514259073
196,8,Speech_196,Theodore Roosevelt,0.23068017046103628,-0.3878011574839714
197,8,Speech_197,William Howard Taft,0.02051866580963741,-0.30579029382597944
198,8,Speech_198,William Howard Taft,0.20667663344337295,-0.5278408792213054
199,9,Speech_199,William Howard Taft,0.1226379329094711,-0.46240186463340993
200,9,Speech_200,William Howard Taft,0.12263793290949218,-0.46240186463339694
201,8,Speech_201,William Howard Taft,0.23907142000224157,-0.37457453771392646
202,8,Speech_202,William Howard Taft,-0.00537978394310445,-0.6254672766906776
203,9,Speech_203,William Howard Taft,0.23907142000224144,-0.37457453771392485
204,8,Speech_204,Woodrow Wilson,0.16090520911863723,-0.09210483675453744
205,3,Speech_205,Woodrow Wilson,-0.29905714604831257,0.25438376330847334
206,3,Speech_206,Woodrow Wilson,-0.38118219378478074,0.20795491544659733
207,8,Speech_207,Woodrow Wilson,0.020518665809636166,-0.3057902938259731
208,8,Speech_208,Woodrow Wilson,0.02439097063475649,-0.4740799719259055
209,4,Speech_209,Woodrow Wilson,-0.38118219378476537,0.20795491544658987
210,4,Speech_210,Woodrow Wilson,-0.33952322836647647,0.08633843766471039
211,8,Speech_211,Woodrow Wilson,0.0005649457655681705,-0.05647588180953617
212,8,Speech_212,Woodrow Wilson,0.0018323745906223855,-0.22498655206336599
213,8,Speech_213,Woodrow Wilson,-0.0765803339877363,0.09589648487196874
214,8,Speech_214,Woodrow Wilson,-0.04077129027309304,-0.42497689348102985
215,4,Speech_215,Woodrow Wilson,-0.11570859326449036,0.1502757328426215
216,4,Speech_216,Woodrow Wilson,-0.07658033398773205,0.09589648487196482
217,1,Speech_217,Woodrow Wilson,-0.09807845081192794,-0.18983470213940648
218,4,Speech_218,Woodrow Wilson,-0.2106651511446618,-0.3225238209245876
219,8,Speech_219,Woodrow Wilson,-0.1157085932644884,0.15027573284261872
220,8,Speech_220,Woodrow Wilson,-0.03882454418207954,-0.3351268453073311
221,8,Speech_221,Woodrow Wilson,0.11133165138196441,-0.13868828454668786
222,8,Speech_222,Woodrow Wilson,-0.015032089293676073,-0.12628326074611468
223,8,Speech_223,Warren Gamaliel Harding,0.11152874688533262,0.005599588330217838
224,8,Speech_224,Warren Gamaliel Harding,0.014465894279050871,-0.3929340552033619
225,8,Speech_225,Warren Gamaliel Harding,0.055457300308531424,-0.27541716482097406
226,8,Speech_226,Calvin Coolidge,0.13669516937396067,-0.2916701193243073
227,8,Speech_227,Calvin Coolidge,0.25661932735226306,-0.3327780131046676
228,8,Speech_228,Calvin Coolidge,0.11152874688533386,0.005599588330218
229,8,Speech_229,Calvin Coolidge,0.020518665809635257,-0.3057902938259665
230,8,Speech_230,Calvin Coolidge,0.2066766334433743,-0.5278408792213084
231,3,Speech_231,Calvin Coolidge,-0.20775491666443016,0.2653898674168297
232,8,Speech_232,Calvin Coolidge,0.20700255028939452,-0.43088538295668466
233,8,Speech_233,Herbert Clark Hoover,0.16090520911864575,-0.09210483675454137
234,8,Speech_234,Calvin Coolidge,0.239071420002234,-0.37457453771391647
235,8,Speech_235,Herbert Clark Hoover,0.10029921857473419,-0.21689790322029529
236,9,Speech_236,Herbert Clark Hoover,-0.2190104021181462,-0.0038154111529330095
237,8,Speech_237,Franklin Delano Roosevelt,-0.010673554134636564,-0.046936394186910965
238,8,Speech_238,Franklin Delano Roosevelt,0.10083186655287868,-0.5831567405717826
239,8,Speech_239,Franklin Delano Roosevelt,-0.372832273956091,0.3885774479575128
240,8,Speech_240,Franklin Delano Roosevelt,0.07696236204959937,-0.01699277833681086
241,8,Speech_241,Franklin Delano Roosevelt,0.2306801704293291,-0.3878011574804441
242,8,Speech_242,Franklin Delano Roosevelt,0.23423132257368318,-0.24374657008871345
243,8,Speech_243,Franklin Delano Roosevelt,0.006415584486310563,-0.3061951968958462
244,8,Speech_244,Franklin Delano Roosevelt,0.006415584486308154,-0.3061951968958413
245,3,Speech_245,Franklin Delano Roosevelt,0.07696236205220366,-0.016992778338266408
246,8,Speech_246,Franklin Delano Roosevelt,0.3651737787759051,0.0875094270601964
247,3,Speech_247,Franklin Delano Roosevelt,0.3836631547741364,0.21861458981964368
248,3,Speech_248,Franklin Delano Roosevelt,-0.3571984589215692,0.232411484102002
249,8,Speech_249,Franklin Delano Roosevelt,-0.5109281010257752,-0.13143641512478352
250,1,Speech_250,Franklin Delano Roosevelt,0.054347433589588365,0.060149061980451196
251,8,Speech_251,Franklin Delano Roosevelt,0.14858573930831262,-0.06567290660550675
